Business Name,Phone Number,Ratting,Address,Website
USACAPITOL - WAREHOUSE,not available,not available,"208 N IH35, Belton, TX 76513, United States",http://www.usacapitol.com/
The Warehouse USA,+1 817-589-1812,4.7,"2704 Handley Ederville Rd, Fort Worth, TX 76118, United States",not available
Texas Star Warehouse & Distribution,+1 214-821-1999,3.5,"5200 E Grand Ave # 400, Dallas, TX 75223, United States",http://texasstarwhse.com/
Schirm USA Warehouse,+1 972-875-8456,3.1,"3301 Knighthurst Rd, Ennis, TX 75119, United States",http://www.schirm.com/en
Shippers Warehouse,+1 214-381-5050,3.7,"1015 W Wintergreen Rd, Hutchins, TX 75141, United States",http://blog.shipperswarehouse.com/did-you-know-about-our-locations-services
American Warehouses,+1 713-228-6381,3.4,"1918 Collingsworth St, Houston, TX 77009, United States",http://www.americanwarehouses.com/
Five Below Warehouse & Distribution Center,+1 936-320-0500,4.1,"950 Conroe Park W Dr, Conroe, TX 77303, United States",https://www.fivebelow.com/?y_source=1_MTc1OTExMTEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
Warehouse-Pro 3rd Party Fulfillment Center,+1 800-706-5202,3.6,"2020 Industrial Blvd, Rockwall, TX 75087, United States",https://warehouse-pro.com/
Live Oak Warehouse,+1 409-735-8193,3.6,"17478 TX-62, Orange, TX 77630, United States",https://www.kencogroup.com/locations/orange-tx/
Mesquite Logistics USA lnc.,+1 830-315-2277,not available,"5215 TX-27, Kerrville, TX 78028, United States",not available
Kroger Distribution Center Warehouse,+1 817-337-2120,3.0,"5801 Kroger Dr, Keller, TX 76244, United States",https://www.kroger.com/
Texas Blending & Warehouse,+1 713-223-1053,4.0,"2505 Collingsworth St, Houston, TX 77026, United States",https://tbwc.net/
Turn Key Warehousing,+1 956-504-0202,3.3,"200 Texas Ave #155, Brownsville, TX 78521, United States",not available
Case Stack Warehouse,+1 972-313-1995,3.4,"3450 Roy Orr Blvd, Grand Prairie, TX 75050, United States",not available
"Woods Distribution Solutions, LLC",+1 817-710-8594,2.5,"11501 N Fwy, Fort Worth, TX 76177, United States",http://www.woodsdist.com/
Gaylord Warehouse,not available,5.0,"8927 Ohio Dr, Plano, TX 75024, United States",not available
Rooms To Go Distribution Center,+1 800-766-6786,[],"3500 S Watson Rd, Arlington, TX 76014, United States",http://www.roomstogo.com/
Vistar Distribution Center - Dallas/Fort Worth,+1 682-323-3880,3.2,"4905 New York Ave, Arlington, TX 76018, United States",http://pfgc.com/
"Texas Cartage Warehouse, Inc.",+1 214-320-3200,3.6,"12344 E NW Hwy, Dallas, TX 75228, United States",http://www.texcar.com/
Amazon HOU1,+1 877-243-2915,4.0,"8120 Humble Westfield Rd, Humble, TX 77338, United States",http://amazondelivers.jobs/
Stanley Black & Decker Distribution,+1 817-224-5200,3.0,"8601 E Sam Lee Ln, Northlake, TX 76262, United States",https://www.stanleyblackanddecker.com/
"Woods Distribution Solutions, LLC",+1 817-768-3020,3.5,"2900 Meacham Blvd, Fort Worth, TX 76137, United States",http://woodsdist.com/
United Ag Cotton Warehouse,not available,4.7,"219 Sam Bishkin Rd, El Campo, TX 77437, United States",not available
Northlake Mainfreight Warehouse,+1 469-322-8191,4.1,"17801 Interstate 35 West Service Rd, Northlake, TX 76262, United States",https://www.mainfreight.com/global/en-nz/services/warehousing
Amazon FTW1,+1 866-531-2476,2.5,"33333 Lyndon B Johnson Fwy, Dallas, TX 75241, United States",http://www.amazonfulfillmentcareers.com/
Ethos Warehouse,+1 888-698-1899,3.4,"1512 Sheridan Rd, Brownwood, TX 76801, United States",not available
GMI Mann Warehouse,+1 713-675-1701,4.1,"8000 Market St # 130, Houston, TX 77029, United States",not available
General Mills Operations,not available,2.9,"3151 E Pioneer Pkwy, Arlington, TX 76010, United States",not available
Amazon DHX5,not available,4.2,"1102 State Hwy 161, Grand Prairie, TX 75051, United States",not available
Knouse Foods,not available,3.0,"4600 Railhead Rd, Fort Worth, TX 76106, United States",https://www.knouse.com/
Jason's Deli Distribution Center Warehouse,+1 972-602-4305,4.1,"2103 I-20, Grand Prairie, TX 75052, United States",http://www.jasonsdeli.com/
Amazon HOU3 guard shack,not available,4.2,"31031 US-90, Brookshire, TX 77423, United States",not available
Fiesta Warehousing & Distribution,+1 210-923-7751,2.6,"302 N Tayman St, San Antonio, TX 78211, United States",http://www.fiestawarehousing.com/
Amazon DAL2,not available,4.1,"Fort Worth International Airport, 2601 S Airfield Dr, Dallas, TX 75261, United States",not available
WinCo Foods Distribution Center,+1 940-703-7100,3.5,"300 S Western Blvd, Denton, TX 76207, United States",http://www.wincofoods.com/
Pactiv Evergreen Warehouse,+1 903-654-4794,3.8,"2200 S Business 45, Corsicana, TX 75110, United States",https://pactivevergreen.com/
Brown Box Ninja-Warehouse Storage Prep and Ship,+1 254-271-4788,4.4,"611 E Avenue A, Temple, TX 76501, United States",http://www.brownboxninja.com/
HEB TEMPLE WAREHOUSE,+1 254-228-2250,3.9,"4750 Wendland Rd, Temple, TX 76504, United States",https://www.heb.com/
The Shippers Group,+1 214-381-5050,3.0,"3845 Grand Lakes Way, Grand Prairie, TX 75050, United States",https://www.theshippersgroup.com/
Dallas Transfer & Terminal Warehouse Company,+1 214-631-5047,3.7,"2424 N Westmoreland Rd, Dallas, TX 75212, United States",http://www.dallastransfer.com/
Dillard's Distribution center,+1 817-831-5111,4.1,"4501 N Beach St, Haltom City, TX 76137, United States",http://dillards.com/
Transplace / TP3 Warehouse,not available,3.4,"13166 S Unitec Dr, Laredo, TX 78045, United States",not available
Amazon FTW7 / FTW9,not available,3.9,"944 W Sandy Lake Rd, Coppell, TX 75019, United States",not available
Freezer Rack Solutions USA LLC,+1 214-552-8828,not available,"11375 Grissom Ln, Dallas, TX 75229, United States",not available
Amazon AFW1,+1 682-324-2000,4.1,"1851 NE Loop 820 Service Rd, Fort Worth, TX 76131, United States",not available
Amazon Fullfillment Center DFW7,+1 866-216-1072,3.7,"700 Westport Pkwy, Fort Worth, TX 76177, United States",https://www.amazon.jobs/
UPS Warehouse 7597,+1 800-877-6947,3.9,"2320 E Bardin Rd, Arlington, TX 76018, United States",not available
Amazon LBB5,+1 806-747-1711,4.3,"1110 E Hunter St, Lubbock, TX 79403, United States",not available
Amazon FTW2,+1 866-216-1072,4.1,"2701 W Bethel Rd, Coppell, TX 75019, United States",not available
DEMATIC CD WAREHOUSE,not available,2.4,"11200 Harmon Rd, Fort Worth, TX 76177, United States",not available
